iter	Passed	Remaining
0	0	72
1	1	68
2	2	66
3	2	61
4	3	59
5	3	59
6	4	58
7	4	57
8	5	56
9	6	55
10	6	54
11	7	54
12	8	53
13	8	54
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	13	52
20	13	51
21	14	51
22	15	50
23	16	50
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	21	47
31	21	46
32	22	45
33	23	45
34	23	44
35	24	43
36	25	43
37	25	42
38	26	41
39	27	40
40	27	40
41	28	39
42	28	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
